Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,12652.3701171875,12656.1298828125,12542.9599609375,12587.16015625,12587.16015625,53127900
2017-07-18,12540.9296875,12572.8603515625,12384.6103515625,12430.3896484375,12430.3896484375,86983300
2017-07-19,12468.0595703125,12475.169921875,12418.669921875,12452.0498046875,12452.0498046875,75200200
2017-07-20,12514.83984375,12575.51953125,12392.1904296875,12447.25,12447.25,104089900
2017-07-21,12424.7998046875,12464.1201171875,12190.8896484375,12240.0595703125,12240.0595703125,132722600
2017-07-24,12228.6298828125,12235.849609375,12142.009765625,12208.9501953125,12208.9501953125,86156000
2017-07-25,12228.3203125,12301.669921875,12211.1396484375,12264.3095703125,12264.3095703125,78204400
2017-07-26,12260.2998046875,12341.0302734375,12255.740234375,12305.1103515625,12305.1103515625,79222400
2017-07-27,12230.08984375,12293.900390625,12176.01953125,12212.0400390625,12212.0400390625,99753700
2017-07-28,12151.3798828125,12183.76953125,12098.5703125,12162.7001953125,12162.7001953125,90333400
2017-07-31,12141.5302734375,12210.2998046875,12097.3603515625,12118.25,12118.25,86603200
2017-08-01,12147.8896484375,12302.3798828125,12092.0595703125,12251.2900390625,12251.2900390625,86925400
2017-08-02,12269.900390625,12275.0,12153.5400390625,12181.48046875,12181.48046875,85734300
2017-08-03,12130.759765625,12184.599609375,12099.1298828125,12154.7197265625,12154.7197265625,78980400
2017-08-04,12138.08984375,12321.98046875,12123.66015625,12297.7197265625,12297.7197265625,95613700
2017-08-07,12305.740234375,12336.0,12225.76953125,12257.169921875,12257.169921875,66014200
2017-08-08,12239.7802734375,12329.9697265625,12184.58984375,12292.0498046875,12292.0498046875,69019400
2017-08-09,12191.3701171875,12227.51953125,12100.1201171875,12154.0,12154.0,114678900
2017-08-10,12158.6904296875,12158.919921875,11993.73046875,12014.2998046875,12014.2998046875,94920700
2017-08-11,11961.599609375,12046.8896484375,11934.919921875,12014.0595703125,12014.0595703125,91074000
2017-08-14,12100.169921875,12195.4296875,12097.0,12165.1201171875,12165.1201171875,77716000
2017-08-15,12208.2998046875,12234.6396484375,12156.8701171875,12177.0400390625,12177.0400390625,60311100
2017-08-16,12250.01953125,12301.400390625,12240.830078125,12263.8603515625,12263.8603515625,64669800
2017-08-17,12236.599609375,12290.0498046875,12184.26953125,12203.4599609375,12203.4599609375,74151700
2017-08-18,12103.509765625,12178.08984375,12080.740234375,12165.1904296875,12165.1904296875,87826700
2017-08-21,12105.7197265625,12149.580078125,12021.7001953125,12065.990234375,12065.990234375,69988000
2017-08-22,12151.759765625,12234.7900390625,12124.150390625,12229.33984375,12229.33984375,66555500
2017-08-23,12227.23046875,12269.919921875,12155.740234375,12174.2998046875,12174.2998046875,63958300
2017-08-24,12196.1796875,12254.75,12169.5400390625,12180.830078125,12180.830078125,62852100
2017-08-25,12194.73046875,12249.4404296875,12132.5,12167.9404296875,12167.9404296875,57519600
2017-08-28,12105.490234375,12173.5302734375,12064.3603515625,12123.4697265625,12123.4697265625,34804100
